Line,Speaker,Text,Date,Party,Location,URL
"7","Clinton","thank you","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"11","Sanders","well gwen and judi thank you veri much for host thi event and pb thank you nine month ago our campaign began and when it began we had no polit organ no money and not much name recognit outsid of the state of vermont A lot ha happen in nine month and what ha happen is I think the american peopl have respond to a seri of basic truth and that is that we have today a campaign financ system which is corrupt which is undermin american democraci which allow wall street and billionair to pour huge sum of money into the polit process to elect the candid of their choic and align with a corrupt campaign financ system is a rig economi and that s an economi where ordinari american are work longer hour for low wager they are worri to death about the futur of their kid and yet they are see almost all new incom and all new wealth go to the top 1 percent and then in addit to that the american peopl are look around and they see a broken crimin justic system they see more peopl in jail in the unit state of america than ani other countri on earth 2 2 million We re spend 80 billion a year lock up fellow american they see kid get arrest for marijuana get in prison get a crimin record while they see execut on wall street who pay billion of dollar in settlement and get no prosecut at all No crimin record for them I think what our campaign is indic is that the american peopl are tire of establish polit tire of establish econom they want a polit revolut in which million of american stand up come togeth not let the trump of the world divid us and say you know what in thi great countri we need a govern that repres all of us not just a hand of wealthi campaign contributor thank you","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"15","Clinton","I m run for presid to knock down all the barrier that are hold american back and to rebuild the ladder of opportun that will give everi american a chanc to advanc especi those who have been left out and left behind I know a lot of american are angri about the economi and for good caus american haven t had a rais in 15 year there aren t enough good-pay job especi for young peopl and ye the economi is rig in favor of those at the top We both agre that we have to get unaccount money out of our polit system and that we have to do much more to ensur that wall street never wreck main street again but I want to go further I want to tackl those barrier that stand in the way of too mani american right now african-american who face discrimin in the job market educ hous and the crimin justic system hardwork immigr famili live in fear who should be brought out of the shadow so they and their children can have a better futur guarante that women s work final get the pay the equal pay that we deserv I think america can onli live up to it potenti when we make sure that everi american ha a chanc to live up to hi or her potenti that will be my mission as presid and I think togeth we will make progress","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"21","Sanders","well to put that in a context judi I think we have to understand that in the last 30 year in thi countri there ha been a massiv transfer of wealth go from the hand of work famili into the top one-tenth of 1 whose percentag of wealth ha doubl In other word the veri rich are get richer almost everybodi is go -- get poorer what I believ is the unit state in fact should join the rest of the industri world and guarante healthcar to all peopl our medicar for all single-pay propos will save the averag middl class famili 5 000 a year I do believ that in the year 2016 we have to look in term of public educ as colleg as part of public educ make public colleg and univers tuition free I believ that when real unemploy is close to 10 and when our infrastructur our road our bridg our water system flint michigan come to mind our wast water plant our rail our airport in mani place are disintegr yeah we can creat 13 million job by rebuild our infrastructur at a cost of a trillion dollar","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"23","Sanders","Of cours there will be a limit but when today you have massiv level of incom and wealth inequ when the middl class is disappear you have the highest rate of child poverti of almost ani major countri on earth ye in my view the govern of a democrat societi ha a moral respons to play a vital role in make sure all of our peopl have a decent standard of live","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"24","Clinton","judi I think that the best analysi that I ve seen base on senat sander plan is that it would probabl increas the size of the feder govern by about 40 but what is most concern to me is that in look at the plan -- let s take healthcar for exampl last week in a cnn town hall the senat told a question that the question would spend about 500 dollar in tax to get about 5 000 dollar in healthcar everi progress economist who ha analyz that say that the number don t add up and that s a promis that cannot be kept and it s realli import now that we are get into the rest of the countri that both of us are held to account for explain what we are propos becaus especi with healthcar thi is not about math thi is about peopl s live and we should level with the american peopl about what we can do to make sure they get qualiti afford healthcar","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"25","Sanders","well let us level with the american peopl secretari clinton ha been go around the countri say berni sander want to dismantl the afford care act peopl are go to lose their medicaid they re go to lose their chip program I have fought my entir life to make sure that healthcar is a right for all peopl We re not go to dismantl everyth but here is the truth twenty-nin million peopl have no health insur today in america We pay by far the highest price in the world for prescript drug one out of five american can t even afford the prescript their doctor are write million of peopl have high deduct and co-pay what I said and let me repeat it I don t know what economist secretari clinton is talk to but what I have said and let me repeat it that ye the middl -- the famili right in the middl of the economi would pay 500 dollar more in tax and get a reduct in their healthcar cost of 5 000 dollar In my view healthcar is a right of all peopl not a privileg and I will fight for","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"27","Clinton","I can onli say that we both share the goal of univers health care coverag you know befor it wa call obamacar it wa call hillarycar and I took on the drug compani and I took on the insur compani to tri to get us univers health care coverag","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"29","Clinton","and whi I am a staunch support of presid obama s princip accomplish -- name the afford care act -- is becaus I know how hard it wa to get that done We are at 90 percent coverag We have to get the remain 10 I ve set forth veri specif plan about how to get cost down especi prescript drug cost and it is difficult to in ani way argu with the goal that we both share but I think the american peopl deserv to know specif how thi would work If it s medicar for all then you no longer have the afford care act becaus the afford care act as you know veri well is base on the insur system base on exchang base on a subsidi system the children s health insur program which I help to creat which cover 8 million kid is also a differ kind of program So if you re have medicar for all single-pay you need to level with peopl about what they will have at the end of the process you are propos and base on everi analysi that I can find by peopl who are sympathet to the goal the number don t add up and mani peopl will actual be wors off than they are right now","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"31","Sanders","that is absolut inaccur look here is the realiti folk there is one major countri on earth that doe not guarante health care to all peopl there is one major countri -- the unit state -- which end up spend almost three time per capita what they do in the U K guarante health care to all peopl 50 percent more than they do in franc guarante health care to all peopl far more than our canadian neighbor who guarante health care to all peopl pleas do not tell me that in thi countri if -- and here s the if -- we have the courag to take on the drug compani and have the courag to take on the insur compani and the medic equip supplier if we do that ye we can guarante health care to all peopl in a much more cost effect way","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"32","Clinton","well let me just -- let me just say onc","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"34","Clinton","that have been in the trench fight for thi I believ strongli we have to guarante health care I believ we are on the path to do that the last thing we need is to throw our countri into a contenti debat about health care again and we are not england We are not franc We inherit a system that wa set up dure world war II 170 million american get health insur right now through their employ So what we have tri to do and what presid obama succeed in do wa to build on the health care system we have get us to 90 percent coverag We have to get the other 10 percent of the way to 100 I far prefer that and the chanc we have to be success there than tri to start all over again gridlock our system and tri to get from zero to 100 percent","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"37","Clinton","No but it is absolut fair and necessari for american to vet both of our propos to ask the realli hard question about what is it we think we can accomplish whi do we believ that and what would be the result for the averag american famili In my case whether it s health care or get us to debt-fre tuition or move us toward paid famili leav I have been veri specif about where I would rais the money how much it would cost and how I would move thi agenda forward I ve tri to be as specif to answer question so that my propos can be vet becaus I feel like we have to level with peopl for the veri reason gwen that you are mention there is a great deal of skeptic about the feder govern I m awar of that It come from the right from the left from peopl on all side of the polit spectrum So we have a special oblig to make clear what we stand for which is whi I think we should not make promis we can t keep becaus that will further I think alien american from understand and believ we can togeth make some real chang in peopl s live","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"40","Clinton","I will put a price tag My price tag is about 100 billion a year and again paid for and what I have said is I will not throw us further into debt I believ I can get the money that I need by tax the wealthi by close loophol the thing that we are way overdu for do and I think onc I m in the white hous we will have enough polit capit to be abl to do that but I am consciou of the fact that we have to also be veri clear especi with young peopl about what kind of govern is go to do what for them and what it will cost","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"42","Sanders","well secretari clinton you re not in the white hous yet and let us be clear that everi propos that I have introduc ha been paid for for exampl all right who in america deni that we have an infrastructur that is crumbl road bridg water system wastewat plant who deni that who deni that real unemploy today includ those who have given up look for work and are work part-tim is close to 10 percent who deni that african-american youth unemploy real is over 50 percent We need to creat job So ye I will do away with the outrag loophol that allow profit multin corpor to stash billion of dollar in the cayman island and bermuda and in a given year pay zero zero in feder incom tax ye I m go to do away with that We will use those proce a hundr billion a year to invest in rebuild our infrastructur ye I believ that as a result of the illeg behavior on wall street that they are a wall street that drove thi countri into the worst econom downturn sinc the great recess -- great depress ye I do believ that now after the american peopl bail wall street out ye they should pay a wall street specul tax so that we can make public colleg and univers tuition-fre We bail them out now it is their time to help the middl class","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"44","Clinton","you know I think again both of us share the goal of tri to make colleg afford for all young american and I have set forth a compact that would do just that for debt-fre tuition We differ howev on a coupl of key point one of them be that if you don t have some agreement within the system from state and from famili and from student it s hard to get to where we need to go and senat sander s plan realli rest on make sure that governor like scott walker contribut 23 billion on the first day to make colleg free I am a littl skeptic about your governor actual care enough about higher educ to make ani kind of commit like that","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
"47","Sanders","A brief respons","2/11/16","Democratic","Milwaukee, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=111520"
